RANK,PLAYER,Team,Position,PASSING_C/A,PASSING_YDS,PASSING_TD,PASSING_INT,RUSHING_CAR,RUSHING_YDS,RUSHING_TD,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TD,RECEIVING_TAR,ROST,DIFFERENTIAL,FFP_TOTAL,FFP_AVG,ADP,ADP_ROUND,ROUND
128,Mecole Hardman,KC,WR,0/0,0,0,0,11,71,1,53,683,5,75,62.7,-1.4,167.2,10.5,145.7,145.7,11
129,Marquez Valdes-Scantling,KC,WR,0/0,0,0,0,2,11,0,39,748,5,75,48.7,-1.1,148.8,9.3,155,155,11
130,Jamison Crowder,Buf,WR,0/0,0,0,0,0,0,0,59,611,5,88,13.9,2.8,150.1,10,164,164,11
131,Marvin Jones Jr.,Jax,WR,0/0,0,0,0,0,0,0,59,686,6,95,28.7,0.4,163,10.2,160.3,160.3,11
132,Irv Smith Jr.,Min,TE,0/0,0,0,0,0,0,0,53,520,5,75,38.9,0.8,134.5,8.4,156.3,156.3,11
133,David Njoku,Cle,TE,0/0,0,0,0,0,0,0,48,593,5,72,23.1,6.4,137.7,8.6,141.9,141.9,12
134,Cole Kmet,Chi,TE,0/0,0,0,0,0,0,0,56,598,4,85,28.6,1.2,138.2,8.6,153.5,153.5,12
135,Trevor Lawrence,Jax,QB,369/580,3920,22,15,66,316,2,0,0,0,0,37.6,-0.4,243.1,15.2,156.9,156.9,12
136,Kirk Cousins,Min,QB,371/563,4123,27,10,29,100,1,0,0,0,0,56,-0.1,253.1,15.8,142.5,142.5,12
137,Robbie Anderson,Car,WR,0/0,0,0,0,4,23,0,55,790,4,106,18.4,-1.2,160.2,10,165.5,165.5,12
138,Nyheim Hines,Ind,RB,0/0,0,0,0,60,269,2,51,405,2,69,26.1,4.3,143.5,9.6,147.2,147.2,12
139,J.D. McKissic,Wsh,RB,0/0,0,0,0,63,281,2,50,387,1,65,45.8,-2.5,138.8,9.3,158,158,12
140,Raheem Mostert,Mia,RB,0/0,0,0,0,124,643,4,13,101,1,18,48.1,-3.9,119.3,9.2,159.2,159.2,12
141,Marlon Mack,Hou,RB,0/0,0,0,0,153,673,4,18,123,0,25,35.1,0.7,128.2,9.2,158.2,158.2,12
142,Tyler Boyd,Cin,WR,0/0,0,0,0,2,13,0,63,692,4,90,34.6,-0.2,159.5,10,147.6,147.6,12
143,Jarvis Landry,NO,WR,3-Feb,18,0,0,0,1,0,58,743,4,94,39.5,-0.2,155.9,9.7,147.7,147.7,12
144,Tua Tagovailoa,Mia,QB,358/539,3799,25,13,50,171,3,0,0,0,0,34.9,2,248.9,16.6,153.5,153.5,12
145,DeVante Parker,NE,WR,0/0,0,0,0,0,0,0,50,687,4,89,16.2,0.2,142.3,9.5,165.7,165.7,13
146,Alec Pierce,Ind,WR,0/0,0,0,0,0,0,0,52,700,4,85,19.8,-1.7,150,9.4,168.5,168.5,13
147,Joshua Palmer,LAC,WR,0/0,0,0,0,0,0,0,51,589,5,78,4.5,-0.1,140.5,8.8,169.2,169.2,13
148,Tim Patrick,Den,WR,0/0,0,0,0,0,0,0,52,677,6,83,9,0.3,156.2,9.8,167.2,167.2,13
