RANK,PLAYER,Team,Position,PASSING_C/A,PASSING_YDS,PASSING_TD,PASSING_INT,RUSHING_CAR,RUSHING_YDS,RUSHING_TD,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TD,RECEIVING_TAR,ROST,DIFFERENTIAL,FFP_TOTAL,FFP_AVG,ADP,ADP_ROUND,ROUND
269,Marcus Mariota,Atl,QB,187/291,2108,10,7,43,252,1,0,0,0,0,2.7,-0.1,131.8,8.2,169.7,169.7,23
270,Sam Darnold,Car,QB,204/327,2225,9,9,31,128,2,0,0,0,0,1.4,0,116.6,7.3,#N/A,#N/A,23
271,Anthony Schwartz,Cle,WR,0/0,0,0,0,4,26,0,31,390,3,51,1.2,0,88.6,5.5,#N/A,#N/A,23
272,Parris Campbell,Ind,WR,0/0,0,0,0,0,0,0,30,371,2,48,1.6,-0.1,78.2,5.6,#N/A,#N/A,23
273,Chris Conley,Hou,WR,0/0,0,0,0,0,0,0,32,432,2,54,0.4,0,87.5,5.5,#N/A,#N/A,23
274,Donovan Peoples-Jones,Cle,WR,0/0,0,0,0,0,0,0,31,428,2,51,2.4,-0.1,87.3,5.5,#N/A,#N/A,23
275,Byron Pringle,Chi,WR,0/0,0,0,0,0,0,0,36,390,2,53,1.7,-0.2,86.5,5.4,#N/A,#N/A,23
276,Snoop Conner,Jax,RB,0/0,0,0,0,21,89,1,9,69,0,12,1.3,0,31.1,2.1,#N/A,#N/A,23
277,Mike Davis,Bal,RB,0/0,0,0,0,29,112,1,6,35,0,7,1.4,-0.1,27.7,1.8,#N/A,#N/A,24
278,Rico Dowdle,Dal,RB,0/0,0,0,0,17,72,1,7,49,0,9,0.2,0,24.1,1.7,#N/A,#N/A,24
279,Jeff Wilson Jr.,SF,RB,0/0,0,0,0,29,118,1,3,26,0,5,1.3,-0.1,25.7,1.7,#N/A,#N/A,24
280,Phillip Lindsay,Ind,RB,0/0,0,0,0,36,155,1,2,13,0,3,0.6,0,25.2,1.7,#N/A,#N/A,24
281,Kene Nwangwu,Min,RB,0/0,0,0,0,23,99,1,4,31,0,6,0.7,0,28.6,1.9,#N/A,#N/A,24
282,Eno Benjamin,Ari,RB,0/0,0,0,0,25,105,1,4,30,0,6,1.2,-0.1,23.7,1.6,#N/A,#N/A,24
283,JaMycal Hasty,SF,RB,0/0,0,0,0,5,20,0,10,73,0,14,0.4,0,23.3,1.6,#N/A,#N/A,24
284,David Bell,Cle,WR,0/0,0,0,0,0,0,0,30,349,2,46,2.2,0,78.8,4.9,#N/A,#N/A,24
285,Chargers D/ST,LAC,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,33.9,-0.3,94.3,5.5,159.2,159.2,24
286,Titans D/ST,Ten,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,4.7,0.2,86.3,5.1,169.2,169.2,24
287,Jonathan Garibay,Dal,K,0/0,0,0,0,0,0,0,0,0,0,0,2.8,0.3,123.5,7.3,169.5,169.5,24
288,Mason Crosby,GB,K,0/0,0,0,0,0,0,0,0,0,0,0,10.5,-1.5,123.1,7.2,169.1,169.1,24
289,Adam Trautman,NO,TE,0/0,0,0,0,0,0,0,34,361,3,53,1.4,-0.1,89.9,5.6,#N/A,#N/A,25
290,Dan Arnold,Jax,TE,0/0,0,0,0,0,0,0,35,413,2,53,0.9,0,90.4,5.6,#N/A,#N/A,25
291,Cameron Brate,TB,TE,0/0,0,0,0,0,0,0,40,410,4,66,1.7,0,108.4,6.8,168.9,168.9,25
292,Tommy Tremble,Car,TE,0/0,0,0,0,4,11,0,34,362,2,53,0.9,0,86.4,5.4,#N/A,#N/A,25
293,Jonnu Smith,NE,TE,0/0,0,0,0,9,43,1,22,268,2,33,1.4,0,68.6,4.3,#N/A,#N/A,25
294,Tutu Atwell,LAR,WR,0/0,0,0,0,0,0,0,26,320,2,42,0.8,0,73.6,4.6,#N/A,#N/A,25
295,Isaiah McKenzie,Buf,WR,0/0,0,0,0,10,58,1,25,242,2,35,0.7,0,71.5,4.5,#N/A,#N/A,25
296,Drew Lock,Sea,QB,219/344,2489,12,9,33,140,2,0,0,0,0,1.8,-0.1,134.4,8.4,#N/A,#N/A,25
297,Broncos D/ST,Den,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,10,-0.1,83.4,4.9,168,168,25
298,Vikings D/ST,Min,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,7.5,-0.7,90.8,5.3,168.8,168.8,25
299,Panthers D/ST,Car,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,2.2,0,85.9,5.1,#N/A,#N/A,25
300,Giants D/ST,NYG,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,1.7,0,86.4,5.1,#N/A,#N/A,25
